,project,article,granularity,timestamp,access,agent,views
58,en.wikipedia,Tyrannosaurus,monthly,2020050100,mobile-web,user,65255
37,en.wikipedia,Tyrannosaurus,monthly,2018080100,mobile-web,user,64521
44,en.wikipedia,Tyrannosaurus,monthly,2019030100,mobile-web,user,64496
1,en.wikipedia,Tyrannosaurus,monthly,2015080100,desktop,user,64452
35,en.wikipedia,Carnotaurus,monthly,2018060100,mobile-web,user,64422
82,en.wikipedia,Tyrannosaurus,monthly,2022050100,mobile-web,user,64300
61,en.wikipedia,Velociraptor,monthly,2020080100,mobile-web,user,63105
35,en.wikipedia,Baryonyx,monthly,2018060100,mobile-web,user,63073
8,en.wikipedia,Tyrannosaurus,monthly,2016030100,desktop,user,62867
68,en.wikipedia,Tyrannosaurus,monthly,2021030100,mobile-web,user,62719
83,en.wikipedia,Spinosaurus,monthly,2022060100,mobile-web,user,62657
83,en.wikipedia,Pyroraptor,monthly,2022060100,mobile-web,user,62516
35,en.wikipedia,Velociraptor,monthly,2018060100,desktop,user,62369
83,en.wikipedia,Giganotosaurus,monthly,2022060100,desktop,user,62340
3,en.wikipedia,Tyrannosaurus,monthly,2015100100,mobile-web,user,61290
3,en.wikipedia,Velociraptor,monthly,2015100100,mobile-web,user,61225
0,en.wikipedia,Spinosaurus,monthly,2015070100,desktop,user,61029
60,en.wikipedia,Tyrannosaurus,monthly,2020070100,mobile-web,user,61019
36,en.wikipedia,Tyrannosaurus,monthly,2018070100,desktop,user,61017
2,en.wikipedia,Tyrannosaurus,monthly,2015090100,desktop,user,60550
4,en.wikipedia,Tyrannosaurus,monthly,2015110100,desktop,user,60426
69,en.wikipedia,Tyrannosaurus,monthly,2021040100,desktop,user,60422
68,en.wikipedia,Nigersaurus,monthly,2021030100,mobile-web,user,60023
71,en.wikipedia,Tyrannosaurus,monthly,2021060100,mobile-web,user,59906
59,en.wikipedia,Tyrannosaurus,monthly,2020060100,mobile-web,user,59590
35,en.wikipedia,Spinosaurus,monthly,2018060100,mobile-web,user,59580
86,en.wikipedia,Tyrannosaurus,monthly,2022090100,mobile-web,user,59572
70,en.wikipedia,Tyrannosaurus,monthly,2021050100,mobile-web,user,59167
1,en.wikipedia,Tyrannosaurus,monthly,2015080100,mobile-web,user,58851
80,en.wikipedia,Tyrannosaurus,monthly,2022030100,mobile-web,user,58483
11,en.wikipedia,Tyrannosaurus,monthly,2016060100,mobile-web,user,58407
10,en.wikipedia,Tyrannosaurus,monthly,2016050100,desktop,user,58193
8,en.wikipedia,Velociraptor,monthly,2016030100,mobile-web,user,58140
83,en.wikipedia,Tyrannosaurus,monthly,2022060100,desktop,user,58017
9,en.wikipedia,Tyrannosaurus,monthly,2016040100,mobile-web,user,57870
66,en.wikipedia,Tyrannosaurus,monthly,2021010100,mobile-web,user,57781
59,en.wikipedia,Lythronax,monthly,2020060100,desktop,user,57701
6,en.wikipedia,Tyrannosaurus,monthly,2016010100,desktop,user,57657
38,en.wikipedia,Tyrannosaurus,monthly,2018090100,mobile-web,user,57616
5,en.wikipedia,Tyrannosaurus,monthly,2015120100,desktop,user,57493
55,en.wikipedia,Nigersaurus,monthly,2020020100,desktop,user,57192
20,en.wikipedia,Tyrannosaurus,monthly,2017030100,desktop,user,57124
35,en.wikipedia,Dilophosaurus,monthly,2018060100,mobile-web,user,56943
34,en.wikipedia,Tyrannosaurus,monthly,2018050100,mobile-web,user,56914
9,en.wikipedia,Tyrannosaurus,monthly,2016040100,desktop,user,56819
6,en.wikipedia,Tyrannosaurus,monthly,2016010100,mobile-web,user,56769
66,en.wikipedia,Nigersaurus,monthly,2021010100,mobile-web,user,56724
5,en.wikipedia,Tyrannosaurus,monthly,2015120100,mobile-web,user,56715
8,en.wikipedia,Tyrannosaurus,monthly,2016030100,mobile-web,user,56573
20,en.wikipedia,Tyrannosaurus,monthly,2017030100,mobile-web,user,56570
63,en.wikipedia,Tyrannosaurus,monthly,2020100100,mobile-web,user,56456
