Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual
1939,28.9,33.2,36.3,45.9,61.9,70,72.7,74.5,64.9,53.1,39.3,33.3,51.2
1940,20.7,29.5,31.7,44.4,58.4,67.3,73,68.1,62.3,49.3,41.3,34.2,48.4
1941,26.2,27.3,32.5,54.6,61.6,69.1,73.2,70.1,65.6,56.9,45.2,35.5,51.5
1942,26.4,26.4,39.8,52.2,63,68.6,73.5,70.3,64.4,54.3,42.4,27.9,50.8
1943,27.2,30.3,36.2,43.9,60.6,73.7,73.7,72.3,63.5,51.6,40,29.1,50.2
1944,29.5,29.3,34.4,46.2,64.7,70,75.1,74.3,65.8,52.1,41.8,29.1,51
1945,22,29.9,47.5,53.6,56.8,68.2,72.2,70.6,67.5,52.3,43.5,26.8,50.9
1946,29.8,28.6,46.2,48.3,59.3,67.6,72.6,68.2,66.3,57.6,46.5,34,52.1
1947,33.3,26.5,34.9,48.4,58.4,66.4,72.7,73.4,65.2,59,39.5,30.1,50.7
1948,21.6,26.3,39.3,49.1,58,67.4,73.8,72.2,65.7,52.1,48,33.8,50.6
1949,35.1,35.6,40.1,51,60.5,71.4,76.8,73.4,62.5,58.6,41.9,35.3,53.5
1950,37,28.3,33.4,46,56.9,67.7,71.8,70.1,61.3,55.7,44.3,30.8,50.3
1951,32.1,32.7,38.9,50.6,61,67.8,73.5,71.3,64.2,54.7,38.8,34.4,51.7
1952,32.4,32.6,37.3,52,58,71,76.8,71.6,65.1,50.9,44,35,52.2
1953,33.4,35.2,40.2,49.7,61.3,70.1,74.3,71.8,66,55.6,44.6,37.4,53.3
1954,26.4,36.5,39.1,51.6,57.7,69.6,73.3,70.3,63.6,57.8,41.9,33,51.7
1955,27.5,30.9,38.8,51.8,63.2,67,78.6,75.6,64,56,41.1,26.8,51.8
1956,29.4,33.3,34.5,46,57,69.7,71.1,71.1,61.6,54.1,43.4,37.3,50.7
1957,24.8,33.8,39,51.3,60.6,72,73.9,69.4,65.8,51.9,45.2,36.6,52
1958,28.1,24.5,37.9,50.8,56.9,64.8,74.4,72,64.1,51.4,44.5,25.9,49.6
1959,27.7,28.4,37.2,51.3,63.3,69,74.2,74.5,68.3,56.2,42.7,34.9,52.3
1960,30.4,33.5,30.7,52.5,60,69,71.9,71.9,64.4,53.6,45.2,26.7,50.8
1961,22.9,31.9,38.4,46.3,57.2,69.3,74.4,72.6,70.9,56.3,44.6,31.8,51.4
1962,28.3,27.1,38.5,50.1,61.3,70,71.1,69.9,61.2,53.7,39.4,28.6,49.9
1963,25.7,23.8,39.2,50,58.6,68.9,73.8,69.9,60.6,57.8,47.1,27.1,50.2
1964,30.4,28.8,39.7,47.3,62.8,68,73.7,69.8,65.2,51.7,45.6,32.5,51.3
1965,25.4,29.4,36.6,46.9,64.1,68.3,72.3,71.3,65.6,51.8,41.9,35.1,50.7
1966,27.4,30.4,39.4,46.1,56.8,70.9,76.4,73.4,63.2,52.3,45.1,32.8,51.2
1967,33.5,26.4,34.6,48,53.2,70.7,73.4,71.3,63.5,53.2,38.9,34.7,50.1
1968,23.2,26.2,40.4,52.2,57.2,67.4,75.2,73.2,66.7,56,42.5,30.1,50.9
1969,27.6,29.2,36.4,51.9,60.8,69.9,72.2,73.9,65.2,53.1,42.2,30,51
1970,21.2,29.7,35.4,48.8,61.1,68.3,74.6,74.2,66.9,55.4,44.8,31.5,51
1971,23.9,30.8,37.2,47.5,57.4,70.4,73.5,71.7,67.6,58.9,41.5,37.4,51.5
1972,31.3,27.6,36.4,46.5,60.5,65.8,74.8,71.8,65.8,49.3,40.2,35.5,50.5
1973,32.1,29.4,43.9,50.9,57,71.6,75,74.9,65.9,55.9,44.9,35.9,53.1
1974,31.3,28.9,39.7,52.4,58.8,66.7,74.2,72.9,63.5,49.9,44.2,35.9,51.5
1975,33.7,32.9,37.5,45.3,63.7,69.1,74.4,72.4,61.3,56.5,48.4,33.1,52.4
1976,24.4,36.3,41.6,52.9,59.2,71.7,72.4,71.8,63.4,49.9,38.3,26.9,50.7
1977,19.4,30.5,43.9,51.4,62.8,67.7,75.2,72.5,65.4,51.8,44.7,31.2,51.4
1978,25.3,23,35.9,48.8,58.4,68.8,72.4,73.6,62.4,52.2,44,34.4,49.9
1979,29.2,20.6,42.6,49.1,61.8,66.9,74,72.4,64.5,52.6,47,35.7,51.4
1980,29.8,27,37,51.5,63,67.6,76.1,76.2,67.9,51.8,40.1,28,51.3
1981,21.3,35.4,38.2,52.6,61.1,70.2,75.8,72,63.8,50,43.3,31.8,51.3
1982,20.5,31.4,37.6,47.6,61.8,65.9,74.2,69.9,64.4,53.8,46.2,38.6,51
1983,30,32.1,41.2,49,57.8,70.2,76.2,74.5,67.3,53.6,44.3,31,52.3
1984,24.8,36.4,33.3,48.7,58.8,71.5,72.4,74,62.4,57.7,43.1,39.2,51.9
1985,24.5,32,41.7,52.5,63,66.5,73.7,72.2,66.6,54.6,46.2,30.3,52
1986,29.9,28.3,40.8,51,63.4,68.9,73.9,70.3,63.9,54.2,41.3,35.4,51.8
1987,28.4,29.8,41.8,51.1,60.6,70.9,75.7,70.9,64.5,49.9,44.3,36.2,52
1988,24.8,30.9,40.5,48.6,60,69.3,76.9,75.8,63.8,49,45.2,32.3,51.4
1989,33.5,31.2,39.1,48.5,59.9,70.4,73.2,71.7,65.6,55,42.6,21.9,51.1
1990,37.2,36.4,42.1,50.4,57.8,69.7,74.6,72.9,64.3,58.4,46.4,39,54.1
1991,30.4,36.4,42.4,52.9,66,71.6,75.4,74.6,64.5,54.8,44.7,36.7,54.2
1992,32.2,33.9,37.1,47.6,58.8,67.5,72,69.6,64.4,50.6,42.6,34.1,50.9
1993,33.3,26.8,35.8,50.1,62.3,69.9,76.7,73.9,64.3,51.6,43.5,33.4,51.8
1994,21.5,26.2,37.3,52.3,59.1,72.2,76.9,70.7,64.2,53.1,48.2,38.2,51.7
1995,34.5,28,42.7,49,58.8,69.8,76.2,74.6,64.6,57.5,40.2,29.2,52.1
1996,27.6,30.8,35.9,49.8,58.4,69.8,71.9,72.5,65.6,53.6,39.9,38,51.2
1997,29.3,37.5,39.8,49,57.3,68.7,74.2,71.2,63.9,53.5,41.2,35.2,51.7
1998,37.5,38.6,42.8,52,63.4,67.8,74.7,74.5,67.3,54.7,44.6,39.6,54.8
1999,30.9,35,39.9,51.1,60.6,71.2,78.8,73.5,66.7,52.7,47.8,36.8,53.8
2000,28.6,34.3,44.8,49,61.6,69.8,70.8,70.8,64.2,54.1,42.7,28.6,51.6
2001,29.4,33.2,37.4,51.3,61.8,70.9,71.4,76.1,64.9,55.2,48.5,40.7,53.4
2002,36.6,37.9,41.9,53.4,58.4,70.1,76.6,75.6,67.5,52.8,42.8,32.9,53.9
2003,25.2,26.9,40,47.7,57.4,67.4,74.6,75.2,66,52.2,47.5,35,51.3
2004,22.8,32,42.1,51.9,64.6,69.4,73.1,72.5,67.5,53.9,45.8,35.4,52.6
2005,28.4,33.3,36.1,52.8,57,73.1,76.3,77.2,70.3,55.5,46.4,31.7,53.2
2006,37.4,33.2,40.9,53.2,61.3,70.2,77.2,74,64.2,53.6,49.2,41.1,54.6
2007,35.2,26.2,39.1,48.2,63.3,70.5,73.9,72.8,67.7,61.3,42.4,34.1,52.9
2008,33.4,33,40.3,52.7,58.2,72.8,76.8,71.4,67,52.8,43,35,53
2009,25,33.8,40,52.4,61.4,67.2,71.9,74.7,64.1,52.7,48.8,33.3,52.1
2010,30.2,31.4,46,55.8,64.6,73.2,78.6,74.6,68.4,55.6,45,30.7,54.5
2011,26.5,32,40.3,52.5,63.4,71.2,78.4,73.8,68.3,55.1,48.4,39.7,54.1
2012,34.4,38.1,49.4,52.7,64.7,70,77.9,75.1,66.7,56.4,41.1,39,55.5
2013,32.8,31.5,38.2,51,60.9,71.1,78.3,72.1,64.6,56.8,42.3,34.9,52.9
2014,25.6,28.2,34.7,50.1,62.2,71,75.2,72.2,67.2,57,41.7,37.9,51.9
2015,26.6,20.3,34.8,51.2,66.1,69.8,76.2,75.6,70.8,54.3,49.2,47,53.5
2016,31.4,35.1,46.5,51,61.1,70.8,77.7,77.4,69.5,56.4,47.2,35.6,55
2017,35.8,38.9,37.6,55.5,59.7,70.7,75.2,72.2,68.6,61.3,43.5,32.4,54.3
2018,28.4,38.6,38.2,46.9,65.4,70.3,76.9,77,68.9,55.2,41.7,37.2,53.7
2019,30.1,33.7,38.8,53.5,61.3,70.3,78.6,74.4,68.2,57.6,40.8,35.4,53.6
2020,36.8,38,45.7,48.6,59.5,72.2,79.5,76.1,66.8,56,49.2,36.8,55.4
2021,32.4,30.9,43,52.4,60.8,72.4,75.3,75.9,68.3,60.3,43.3,40.6,54.6
